pais,grupos_edad,anios,miles_personas_a_mitad_anio
ARGENTINA,0-4,2025,1515.9
ARGENTINA,5-9,2025,1674.9
ARGENTINA,10-14,2025,1783.1
ARGENTINA,15-19,2025,1719.5
ARGENTINA,20-24,2025,1692.5
ARGENTINA,25-29,2025,1707.4
ARGENTINA,30-34,2025,1717.8
ARGENTINA,35-39,2025,1622.0
ARGENTINA,40-44,2025,1567.3
ARGENTINA,45-49,2025,1512.1
ARGENTINA,50-54,2025,1326.2
ARGENTINA,55-59,2025,1136.8
ARGENTINA,60-64,2025,1040.6
ARGENTINA,65-69,2025,943.9
ARGENTINA,70-74,2025,815.2
ARGENTINA,75-79,2025,652.5
ARGENTINA,80-84,2025,461.6
ARGENTINA,85-89,2025,283.2
ARGENTINA,90-94,2025,147.4
ARGENTINA,95-99,2025,56.1
ARGENTINA,100 y más,2025,13.5
CHILE,0-4,2025,547.9
CHILE,5-9,2025,568.1
CHILE,10-14,2025,602.3
CHILE,15-19,2025,583.4
CHILE,20-24,2025,601.5
CHILE,25-29,2025,708.0
CHILE,30-34,2025,794.2
CHILE,35-39,2025,776.5
CHILE,40-44,2025,707.4
CHILE,45-49,2025,663.3
CHILE,50-54,2025,635.4
CHILE,55-59,2025,611.0
CHILE,60-64,2025,561.6
CHILE,65-69,2025,484.0
CHILE,70-74,2025,392.4
CHILE,75-79,2025,288.1
CHILE,80-84,2025,186.6
CHILE,85-89,2025,117.0
CHILE,90-94,2025,62.1
CHILE,95-99,2025,23.4
CHILE,100 y más,2025,4.7
COLOMBIA,0-4,2025,1725.4
COLOMBIA,5-9,2025,1793.6
COLOMBIA,10-14,2025,1801.4
COLOMBIA,15-19,2025,1845.6
COLOMBIA,20-24,2025,2011.8
COLOMBIA,25-29,2025,2172.5
COLOMBIA,30-34,2025,2210.9
COLOMBIA,35-39,2025,2080.3
COLOMBIA,40-44,2025,1914.6
COLOMBIA,45-49,2025,1718.9
COLOMBIA,50-54,2025,1547.2
COLOMBIA,55-59,2025,1494.2
COLOMBIA,60-64,2025,1364.0
COLOMBIA,65-69,2025,1095.5
COLOMBIA,70-74,2025,811.4
COLOMBIA,75-79,2025,553.9
COLOMBIA,80-84,2025,338.4
COLOMBIA,85-89,2025,154.5
COLOMBIA,90-94,2025,49.9
COLOMBIA,95-99,2025,9.5
COLOMBIA,100 y más,2025,1.0
COSTA RICA,0-4,2025,147.3
COSTA RICA,5-9,2025,165.5
COSTA RICA,10-14,2025,177.1
COSTA RICA,15-19,2025,182.0
COSTA RICA,20-24,2025,184.2
COSTA RICA,25-29,2025,198.0
COSTA RICA,30-34,2025,207.1
COSTA RICA,35-39,2025,211.0
COSTA RICA,40-44,2025,197.7
COSTA RICA,45-49,2025,175.1
COSTA RICA,50-54,2025,156.6
COSTA RICA,55-59,2025,152.0
COSTA RICA,60-64,2025,143.8
COSTA RICA,65-69,2025,118.2
COSTA RICA,70-74,2025,89.2
COSTA RICA,75-79,2025,64.8
COSTA RICA,80-84,2025,41.3
COSTA RICA,85-89,2025,22.0
COSTA RICA,90-94,2025,8.0
COSTA RICA,95-99,2025,1.7
COSTA RICA,100 y más,2025,0.2
EL SALVADOR,0-4,2025,239.7
EL SALVADOR,5-9,2025,249.6
EL SALVADOR,10-14,2025,269.8
EL SALVADOR,15-19,2025,267.4
EL SALVADOR,20-24,2025,283.0
EL SALVADOR,25-29,2025,311.2
EL SALVADOR,30-34,2025,279.0
EL SALVADOR,35-39,2025,226.7
EL SALVADOR,40-44,2025,206.0
EL SALVADOR,45-49,2025,206.4
EL SALVADOR,50-54,2025,185.9
EL SALVADOR,55-59,2025,164.6
EL SALVADOR,60-64,2025,137.6
EL SALVADOR,65-69,2025,111.0
EL SALVADOR,70-74,2025,88.8
EL SALVADOR,75-79,2025,64.3
EL SALVADOR,80-84,2025,42.3
EL SALVADOR,85-89,2025,22.7
EL SALVADOR,90-94,2025,8.8
EL SALVADOR,95-99,2025,2.4
EL SALVADOR,100 y más,2025,0.4
GUATEMALA,0-4,2025,898.9
GUATEMALA,5-9,2025,961.8
GUATEMALA,10-14,2025,961.6
GUATEMALA,15-19,2025,931.1
GUATEMALA,20-24,2025,922.7
GUATEMALA,25-29,2025,863.4
GUATEMALA,30-34,2025,770.7
GUATEMALA,35-39,2025,660.3
GUATEMALA,40-44,2025,556.2
GUATEMALA,45-49,2025,457.0
GUATEMALA,50-54,2025,363.8
GUATEMALA,55-59,2025,293.0
GUATEMALA,60-64,2025,238.1
GUATEMALA,65-69,2025,190.3
GUATEMALA,70-74,2025,142.7
GUATEMALA,75-79,2025,95.0
GUATEMALA,80-84,2025,56.0
GUATEMALA,85-89,2025,30.1
GUATEMALA,90-94,2025,15.3
GUATEMALA,95-99,2025,5.4
GUATEMALA,100 y más,2025,1.1
PERU,0-4,2025,1426.1
PERU,5-9,2025,1420.0
PERU,10-14,2025,1448.9
PERU,15-19,2025,1481.4
PERU,20-24,2025,1392.0
PERU,25-29,2025,1384.2
PERU,30-34,2025,1383.5
PERU,35-39,2025,1324.5
PERU,40-44,2025,1194.8
PERU,45-49,2025,1070.0
PERU,50-54,2025,959.5
PERU,55-59,2025,806.7
PERU,60-64,2025,685.1
PERU,65-69,2025,577.5
PERU,70-74,2025,456.5
PERU,75-79,2025,331.6
PERU,80-84,2025,207.8
PERU,85-89,2025,99.1
PERU,90-94,2025,30.6
PERU,95-99,2025,5.7
PERU,100 y más,2025,0.6
REPUBLICA DOMINICANA,0-4,2025,479.7
REPUBLICA DOMINICANA,5-9,2025,497.4
REPUBLICA DOMINICANA,10-14,2025,502.0
REPUBLICA DOMINICANA,15-19,2025,478.6
REPUBLICA DOMINICANA,20-24,2025,467.5
REPUBLICA DOMINICANA,25-29,2025,454.0
REPUBLICA DOMINICANA,30-34,2025,446.3
REPUBLICA DOMINICANA,35-39,2025,410.8
REPUBLICA DOMINICANA,40-44,2025,374.0
REPUBLICA DOMINICANA,45-49,2025,334.7
REPUBLICA DOMINICANA,50-54,2025,293.4
REPUBLICA DOMINICANA,55-59,2025,263.0
REPUBLICA DOMINICANA,60-64,2025,237.5
REPUBLICA DOMINICANA,65-69,2025,190.5
REPUBLICA DOMINICANA,70-74,2025,132.5
REPUBLICA DOMINICANA,75-79,2025,85.3
REPUBLICA DOMINICANA,80-84,2025,52.5
REPUBLICA DOMINICANA,85-89,2025,34.2
REPUBLICA DOMINICANA,90-94,2025,15.6
REPUBLICA DOMINICANA,95-99,2025,4.6
REPUBLICA DOMINICANA,100 y más,2025,1.0
URUGUAY,0-4,2025,86.2
URUGUAY,5-9,2025,100.2
URUGUAY,10-14,2025,114.9
URUGUAY,15-19,2025,115.3
URUGUAY,20-24,2025,118.5
URUGUAY,25-29,2025,124.9
URUGUAY,30-34,2025,123.7
URUGUAY,35-39,2025,115.8
URUGUAY,40-44,2025,108.1
URUGUAY,45-49,2025,114.5
URUGUAY,50-54,2025,106.9
URUGUAY,55-59,2025,99.5
URUGUAY,60-64,2025,98.0
URUGUAY,65-69,2025,87.3
URUGUAY,70-74,2025,74.2
URUGUAY,75-79,2025,60.7
URUGUAY,80-84,2025,47.7
URUGUAY,85-89,2025,34.0
URUGUAY,90-94,2025,20.4
URUGUAY,95-99,2025,9.1
URUGUAY,100 y más,2025,3.2
