indicator,País__ESTANDAR,Sexo,Grupos quinquenales de edad,Años__ESTANDAR,value,unit,notes_ids,source_id
"Población, por grupos de edad, según sexo",Argentina,Mujeres,0-4,2020,"1676,5","Miles de personas, a mitad del año",,6547
"Población, por grupos de edad, según sexo",Argentina,Mujeres,0-4,2025,"1515,9","Miles de personas, a mitad del año",,6547
"Población, por grupos de edad, según sexo",Argentina,Mujeres,5-9,2020,"1784,0","Miles de personas, a mitad del año",,6547
"Población, por grupos de edad, según sexo",Argentina,Mujeres,5-9,2025,"1674,9","Miles de personas, a mitad del año",,6547
"Población, por grupos de edad, según sexo",Argentina,Mujeres,10-14,2020,"1720,8","Miles de personas, a mitad del año",,6547
"Población, por grupos de edad, según sexo",Argentina,Mujeres,10-14,2025,"1783,1","Miles de personas, a mitad del año",,6547
"Población, por grupos de edad, según sexo",Argentina,Mujeres,15-19,2020,"1694,2","Miles de personas, a mitad del año",,6547
"Población, por grupos de edad, según sexo",Argentina,Mujeres,15-19,2025,"1719,5","Miles de personas, a mitad del año",,6547
"Población, por grupos de edad, según sexo",Argentina,Mujeres,20-24,2020,"1709,7","Miles de personas, a mitad del año",,6547
"Población, por grupos de edad, según sexo",Argentina,Mujeres,20-24,2025,"1692,5","Miles de personas, a mitad del año",,6547
"Población, por grupos de edad, según sexo",Argentina,Mujeres,25-29,2020,"1721,7","Miles de personas, a mitad del año",,6547
"Población, por grupos de edad, según sexo",Argentina,Mujeres,25-29,2025,"1707,4","Miles de personas, a mitad del año",,6547
"Población, por grupos de edad, según sexo",Argentina,Mujeres,30-34,2020,"1627,9","Miles de personas, a mitad del año",,6547
"Población, por grupos de edad, según sexo",Argentina,Mujeres,30-34,2025,"1717,8","Miles de personas, a mitad del año",,6547
"Población, por grupos de edad, según sexo",Argentina,Mujeres,35-39,2020,"1576,7","Miles de personas, a mitad del año",,6547
"Población, por grupos de edad, según sexo",Argentina,Mujeres,35-39,2025,"1622,0","Miles de personas, a mitad del año",,6547
"Población, por grupos de edad, según sexo",Argentina,Mujeres,40-44,2020,"1526,1","Miles de personas, a mitad del año",,6547
"Población, por grupos de edad, según sexo",Argentina,Mujeres,40-44,2025,"1567,3","Miles de personas, a mitad del año",,6547
"Población, por grupos de edad, según sexo",Argentina,Mujeres,45-49,2020,"1345,4","Miles de personas, a mitad del año",,6547
"Población, por grupos de edad, según sexo",Argentina,Mujeres,45-49,2025,"1512,1","Miles de personas, a mitad del año",,6547
"Población, por grupos de edad, según sexo",Argentina,Mujeres,50-54,2020,"1162,3","Miles de personas, a mitad del año",,6547
"Población, por grupos de edad, según sexo",Argentina,Mujeres,50-54,2025,"1326,2","Miles de personas, a mitad del año",,6547
"Población, por grupos de edad, según sexo",Argentina,Mujeres,55-59,2020,"1078,1","Miles de personas, a mitad del año",,6547
"Población, por grupos de edad, según sexo",Argentina,Mujeres,55-59,2025,"1136,8","Miles de personas, a mitad del año",,6547
"Población, por grupos de edad, según sexo",Argentina,Mujeres,60-64,2020,"999,1","Miles de personas, a mitad del año",,6547
"Población, por grupos de edad, según sexo",Argentina,Mujeres,60-64,2025,"1040,6","Miles de personas, a mitad del año",,6547
"Población, por grupos de edad, según sexo",Argentina,Mujeres,65-69,2020,"895,3","Miles de personas, a mitad del año",,6547
"Población, por grupos de edad, según sexo",Argentina,Mujeres,65-69,2025,"943,9","Miles de personas, a mitad del año",,6547
"Población, por grupos de edad, según sexo",Argentina,Mujeres,70-74,2020,"758,7","Miles de personas, a mitad del año",,6547
"Población, por grupos de edad, según sexo",Argentina,Mujeres,70-74,2025,"815,2","Miles de personas, a mitad del año",,6547
"Población, por grupos de edad, según sexo",Argentina,Mujeres,75-79,2020,"584,0","Miles de personas, a mitad del año",,6547
"Población, por grupos de edad, según sexo",Argentina,Mujeres,75-79,2025,"652,5","Miles de personas, a mitad del año",,6547
"Población, por grupos de edad, según sexo",Argentina,Mujeres,80-84,2020,"411,9","Miles de personas, a mitad del año",,6547
"Población, por grupos de edad, según sexo",Argentina,Mujeres,80-84,2025,"461,6","Miles de personas, a mitad del año",,6547
"Población, por grupos de edad, según sexo",Argentina,Mujeres,85-89,2020,"267,3","Miles de personas, a mitad del año",,6547
"Población, por grupos de edad, según sexo",Argentina,Mujeres,85-89,2025,"283,2","Miles de personas, a mitad del año",,6547
"Población, por grupos de edad, según sexo",Argentina,Mujeres,90-94,2020,"143,3","Miles de personas, a mitad del año",,6547
"Población, por grupos de edad, según sexo",Argentina,Mujeres,90-94,2025,"147,4","Miles de personas, a mitad del año",,6547
"Población, por grupos de edad, según sexo",Argentina,Mujeres,95-99,2020,"47,8","Miles de personas, a mitad del año",,6547
"Población, por grupos de edad, según sexo",Argentina,Mujeres,95-99,2025,"56,1","Miles de personas, a mitad del año",,6547
"Población, por grupos de edad, según sexo",Argentina,Mujeres,100 y más,2020,"8,4","Miles de personas, a mitad del año",,6547
"Población, por grupos de edad, según sexo",Argentina,Mujeres,100 y más,2025,"13,5","Miles de personas, a mitad del año",,6547
"Población, por grupos de edad, según sexo",Chile,Mujeres,0-4,2020,"568,5","Miles de personas, a mitad del año",,6547
"Población, por grupos de edad, según sexo",Chile,Mujeres,0-4,2025,"547,9","Miles de personas, a mitad del año",,6547
"Población, por grupos de edad, según sexo",Chile,Mujeres,5-9,2020,"603,4","Miles de personas, a mitad del año",,6547
"Población, por grupos de edad, según sexo",Chile,Mujeres,5-9,2025,"568,1","Miles de personas, a mitad del año",,6547
"Población, por grupos de edad, según sexo",Chile,Mujeres,10-14,2020,"590,4","Miles de personas, a mitad del año",,6547
"Población, por grupos de edad, según sexo",Chile,Mujeres,10-14,2025,"602,3","Miles de personas, a mitad del año",,6547
"Población, por grupos de edad, según sexo",Chile,Mujeres,15-19,2020,"611,9","Miles de personas, a mitad del año",,6547
"Población, por grupos de edad, según sexo",Chile,Mujeres,15-19,2025,"583,4","Miles de personas, a mitad del año",,6547
"Población, por grupos de edad, según sexo",Chile,Mujeres,20-24,2020,"715,4","Miles de personas, a mitad del año",,6547
"Población, por grupos de edad, según sexo",Chile,Mujeres,20-24,2025,"601,5","Miles de personas, a mitad del año",,6547
"Población, por grupos de edad, según sexo",Chile,Mujeres,25-29,2020,"799,2","Miles de personas, a mitad del año",,6547
"Población, por grupos de edad, según sexo",Chile,Mujeres,25-29,2025,"708,0","Miles de personas, a mitad del año",,6547
"Población, por grupos de edad, según sexo",Chile,Mujeres,30-34,2020,"780,8","Miles de personas, a mitad del año",,6547
"Población, por grupos de edad, según sexo",Chile,Mujeres,30-34,2025,"794,2","Miles de personas, a mitad del año",,6547
"Población, por grupos de edad, según sexo",Chile,Mujeres,35-39,2020,"711,7","Miles de personas, a mitad del año",,6547
